Date,Open,High,Low,Close,Volume,SMA_20,RSI,MACD,MACD_Signal,MACD_Histogram,Target,Model_Prediction
2024-09-11,220.0147,221.6341,216.468,221.2069,44587100,223.2162,50.4329,0.3717,1.1852,-0.8135,1,1
2024-09-12,221.048,222.0911,218.3854,221.3162,37455600,223.2684,50.6478,0.3337,1.0149,-0.6812,0,0
2024-09-13,222.1209,222.5779,220.4618,221.0479,36766600,223.1581,50.0739,0.2788,0.8677,-0.5889,0,0
2024-09-16,215.1268,215.8024,212.5239,214.9083,59357400,222.6748,39.1419,-0.2572,0.6427,-0.8999,1,1
2024-09-17,214.342,215.4845,213.1002,215.3752,45519300,222.2227,40.211,-0.6369,0.3868,-1.0237,1,1
2024-09-18,216.1303,221.2566,216.1203,219.2498,59894900,221.9336,48.3231,-0.6181,0.1858,-0.8039,1,1
2024-09-19,223.5217,228.3202,223.1641,227.3764,66781300,222.0563,60.4453,0.0519,0.159,-0.1071,0,0
2024-09-20,228.4692,231.5688,226.1345,226.7108,318679900,222.2386,59.22,0.5232,0.2319,0.2914,0,0
2024-09-23,225.8564,227.9526,224.3364,224.9921,54146000,222.2203,56.0599,0.7494,0.3354,0.414,1,1
2024-09-24,227.1578,227.8533,224.2569,225.8862,43556100,222.2297,57.3354,0.9894,0.4662,0.5232,0,0
2024-09-25,223.4621,225.8067,222.558,224.8927,42308700,222.1472,55.4107,1.0869,0.5903,0.4966,1,1
2024-09-26,225.8166,227.0088,223.939,226.0352,36636700,222.1984,57.1904,1.242,0.7207,0.5214,1,1
2024-09-27,226.9691,228.0221,225.8166,226.3034,34026000,222.0991,57.6182,1.3708,0.8507,0.5201,1,1
2024-09-30,228.5387,231.4794,228.1513,231.4794,54541900,222.2977,64.9048,1.869,1.0543,0.8147,0,0
2024-10-01,228.0222,228.1513,222.2799,224.7338,63285000,222.4686,52.2876,1.6999,1.1835,0.5164,1,1
2024-10-02,224.4159,225.8862,221.5646,225.3,32880600,222.7632,53.1117,1.5932,1.2654,0.3278,0,0
2024-10-03,223.6707,225.3298,221.8626,224.1973,34044200,222.9266,51.2552,1.4035,1.293,0.1105,1,1
2024-10-04,226.4127,226.512,222.6673,225.3199,37245100,223.2237,53.0541,1.3284,1.3001,0.0283,0,0
2024-10-07,223.0349,224.2172,219.8856,220.2433,39505400,223.2624,44.9714,0.8495,1.21,-0.3605,1,1
2024-10-08,222.8362,224.5052,221.7931,224.2966,31855700,223.5436,51.3451,0.7879,1.1256,-0.3376,1,1
2024-10-09,223.7601,228.2506,223.3628,228.042,33591100,223.8853,56.3734,1.0295,1.1064,-0.0769,0,0
2024-10-10,226.2935,228.0023,225.6875,227.5453,28183500,224.1968,55.5534,1.1674,1.1186,0.0488,0,0
2024-10-11,227.8036,227.9129,225.8564,226.065,31759200,224.4476,53.0758,1.144,1.1237,0.0204,1,1
2024-10-14,227.2075,230.2177,227.1082,229.7905,39882100,225.1917,58.1363,1.4099,1.1809,0.229,1,1
2024-10-15,232.0854,235.9401,230.8535,232.3239,64751400,226.0392,61.2005,1.8042,1.3056,0.4987,0,0
2024-10-16,230.0886,230.6052,228.34,230.2674,34082200,226.59,57.5199,1.9286,1.4302,0.4984,1,1
2024-10-17,231.9066,232.3239,229.0156,230.635,32993800,226.753,58.0061,2.0333,1.5508,0.4825,1,1
2024-10-18,234.6387,234.6387,232.4828,233.4664,46431500,227.0908,61.647,2.3181,1.7043,0.6138,1,1
